meter_id,date,daily_energy_wh
1130211_FD1_L1_EDMI_1_D,2014-02-11,5390
1130211_FD1_L1_EDMI_1_D,2014-02-12,8050
1130211_FD1_L1_EDMI_1_D,2014-02-13,7423
1130211_FD1_L1_EDMI_1_D,2014-02-14,13018
1130211_FD1_L1_EDMI_1_D,2014-02-15,8595
1130211_FD1_L1_EDMI_1_D,2014-02-16,10516
1130211_FD1_L1_EDMI_1_D,2014-02-17,7242
1130211_FD1_L1_EDMI_1_D,2014-02-18,7760
1130211_FD1_L1_EDMI_1_D,2014-02-19,8196
1130211_FD1_L1_EDMI_1_D,2014-02-20,8711
1130211_FD1_L1_EDMI_1_D,2014-02-21,9041
1130211_FD1_L1_EDMI_1_D,2014-02-22,7609
1130211_FD1_L1_EDMI_1_D,2014-02-23,9224
1130211_FD1_L1_EDMI_1_D,2014-02-24,7935
1130211_FD1_L1_EDMI_1_D,2014-02-25,9341
1130211_FD1_L1_EDMI_1_D,2014-02-26,8484
1130211_FD1_L1_EDMI_1_D,2014-02-27,8866
1130211_FD1_L1_EDMI_1_D,2014-02-28,8149
1130211_FD1_L1_EDMI_1_D,2014-03-01,9402
1130211_FD1_L1_EDMI_1_D,2014-03-02,7826
1130211_FD1_L1_EDMI_1_D,2014-03-03,10723
1130211_FD1_L1_EDMI_1_D,2014-03-04,8584
1130211_FD1_L1_EDMI_1_D,2014-03-05,8109
1130211_FD1_L1_EDMI_1_D,2014-03-06,7718
1130211_FD1_L1_EDMI_1_D,2014-03-07,6957
1130211_FD1_L1_EDMI_1_D,2014-03-08,7384
1130211_FD1_L1_EDMI_1_D,2014-03-09,9779
1130211_FD1_L1_EDMI_1_D,2014-03-10,10071
1130211_FD1_L1_EDMI_1_D,2014-03-11,9430
1130211_FD1_L1_EDMI_1_D,2014-03-12,8107
1130211_FD1_L1_EDMI_1_D,2014-03-13,6495
1130211_FD1_L1_EDMI_1_D,2014-03-14,8414
1130211_FD1_L1_EDMI_1_D,2014-03-15,10219
1130211_FD1_L1_EDMI_1_D,2014-03-16,8415
1130211_FD1_L1_EDMI_1_D,2014-03-17,7173
1130211_FD1_L1_EDMI_1_D,2014-03-18,4579
1130211_FD1_L1_EDMI_1_D,2014-03-19,8610
1130211_FD1_L1_EDMI_1_D,2014-03-20,6328
1130211_FD1_L1_EDMI_1_D,2014-03-21,6380
1130211_FD1_L1_EDMI_1_D,2014-03-22,9839
1130211_FD1_L1_EDMI_1_D,2014-03-23,11037
1130211_FD1_L1_EDMI_1_D,2014-03-24,8083
1130211_FD1_L1_EDMI_1_D,2014-03-25,7966
1130211_FD1_L1_EDMI_1_D,2014-03-26,9207
1130211_FD1_L1_EDMI_1_D,2014-03-27,7742
1130211_FD1_L1_EDMI_1_D,2014-03-28,7885
1130211_FD1_L1_EDMI_1_D,2014-03-29,8579
1130211_FD1_L1_EDMI_1_D,2014-03-30,10456
1130211_FD1_L1_EDMI_1_D,2014-03-31,5472
1130211_FD1_L1_EDMI_1_D,2014-04-01,4421
1130211_FD1_L1_EDMI_1_D,2014-04-02,4213
1130211_FD1_L1_EDMI_1_D,2014-04-03,3194
1130211_FD1_L1_EDMI_1_D,2014-04-04,7673
1130211_FD1_L1_EDMI_1_D,2014-04-05,6583
1130211_FD1_L1_EDMI_1_D,2014-04-06,8740
1130211_FD1_L1_EDMI_1_D,2014-04-07,10097
1130211_FD1_L1_EDMI_1_D,2014-04-08,7985
1130211_FD1_L1_EDMI_1_D,2014-04-09,7407
1130211_FD1_L1_EDMI_1_D,2014-04-10,6126
1130211_FD1_L1_EDMI_1_D,2014-04-11,7671
1130211_FD1_L1_EDMI_1_D,2014-04-12,7553
1130211_FD1_L1_EDMI_1_D,2014-04-13,9293
1130211_FD1_L1_EDMI_1_D,2014-04-14,7756
1130211_FD1_L1_EDMI_1_D,2014-04-15,6784
1130211_FD1_L1_EDMI_1_D,2014-04-16,5816
1130211_FD1_L1_EDMI_1_D,2014-04-17,6842
1130211_FD1_L1_EDMI_1_D,2014-04-18,9151
1130211_FD1_L1_EDMI_1_D,2014-04-19,6049
1130211_FD1_L1_EDMI_1_D,2014-04-20,3653
1130211_FD1_L1_EDMI_1_D,2014-04-21,5614
1130211_FD1_L1_EDMI_1_D,2014-04-22,4555
1130211_FD1_L1_EDMI_1_D,2014-04-23,6203
1130211_FD1_L1_EDMI_1_D,2014-04-24,4410
1130211_FD1_L1_EDMI_1_D,2014-04-25,2597
1130211_FD1_L1_EDMI_1_D,2014-04-26,2670
1130211_FD1_L1_EDMI_1_D,2014-04-27,2594
1130211_FD1_L1_EDMI_1_D,2014-04-28,3834
1130211_FD1_L1_EDMI_1_D,2014-04-29,5834
1130211_FD1_L1_EDMI_1_D,2014-04-30,10318
1130211_FD1_L1_EDMI_1_D,2014-05-01,6318
1130211_FD1_L1_EDMI_1_D,2014-05-02,10813
1130211_FD1_L1_EDMI_1_D,2014-05-03,8007
1130211_FD1_L1_EDMI_1_D,2014-05-04,6247
